Loading gnu/11.2.0
  Loading requirement: binutils/11.2.0
Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Baseline model: 494,032,768 params (all trainable)
data  train=54473  val=3000
epoch 1/3  step 930/13619  loss=0.3684  lr=2.00e-05
epoch 1/3  step 940/13619  loss=0.3072  lr=2.00e-05
epoch 1/3  step 950/13619  loss=0.3636  lr=2.00e-05
epoch 1/3  step 960/13619  loss=0.3018  lr=2.00e-05
epoch 1/3  step 970/13619  loss=0.3349  lr=2.00e-05
epoch 1/3  step 980/13619  loss=0.2599  lr=2.00e-05
epoch 1/3  step 990/13619  loss=0.2656  lr=2.00e-05
epoch 1/3  step 1000/13619  loss=0.3930  lr=2.00e-05
epoch 1/3  step 1010/13619  loss=0.3053  lr=2.00e-05
epoch 1/3  step 1020/13619  loss=0.2873  lr=2.00e-05
epoch 1/3  step 1030/13619  loss=0.3366  lr=2.00e-05
epoch 1/3  step 1040/13619  loss=0.2645  lr=2.00e-05
epoch 1/3  step 1050/13619  loss=0.3208  lr=2.00e-05
epoch 1/3  step 1060/13619  loss=0.2864  lr=2.00e-05
epoch 1/3  step 1070/13619  loss=0.4376  lr=2.00e-05
epoch 1/3  step 1080/13619  loss=0.2509  lr=2.00e-05
epoch 1/3  step 1090/13619  loss=0.3655  lr=2.00e-05
epoch 1/3  step 1100/13619  loss=0.3000  lr=2.00e-05
epoch 1/3  step 1110/13619  loss=0.3721  lr=2.00e-05
epoch 1/3  step 1120/13619  loss=0.3048  lr=2.00e-05
epoch 1/3  step 1130/13619  loss=0.3444  lr=2.00e-05
epoch 1/3  step 1140/13619  loss=0.4307  lr=2.00e-05
epoch 1/3  step 1150/13619  loss=0.3060  lr=2.00e-05
epoch 1/3  step 1160/13619  loss=0.2088  lr=2.00e-05
epoch 1/3  step 1170/13619  loss=0.2841  lr=2.00e-05
epoch 1/3  step 1180/13619  loss=0.3361  lr=2.00e-05
epoch 1/3  step 1190/13619  loss=0.3625  lr=2.00e-05
epoch 1/3  step 1200/13619  loss=0.3108  lr=2.00e-05
epoch 1/3  step 1210/13619  loss=0.3920  lr=2.00e-05
epoch 1/3  step 1220/13619  loss=0.3544  lr=2.00e-05
epoch 1/3  step 1230/13619  loss=0.3963  lr=2.00e-05
epoch 1/3  step 1240/13619  loss=0.2345  lr=2.00e-05
epoch 1/3  step 1250/13619  loss=0.1729  lr=2.00e-05
